,blueWins
812,1
813,1
814,0
815,1
816,1
817,0
818,0
819,1
820,0
821,1
822,0
823,1
824,0
825,1
826,0
827,1
828,1
829,0
830,1
831,1
832,1
833,1
834,1
835,1
836,1
837,0
838,0
839,1
840,1
841,0
842,0
843,1
844,1
845,1
846,0
847,0
848,0
849,0
850,1
851,1
852,0
853,1
854,1
855,1
856,0
857,0
858,0
859,0
860,0
861,1
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,1
871,0
872,1
873,1
874,1
875,0
876,1
877,1
878,0
879,0
880,0
881,1
882,1
883,0
884,0
885,0
886,1
887,0
888,0
889,1
890,1
891,0
892,0
893,0
894,1
895,1
896,1
897,0
898,1
899,1
900,0
901,0
902,1
903,1
904,0
905,0
906,0
907,1
908,0
909,1
910,1
911,1
912,0
913,0
914,0
915,1
916,0
917,1
918,0
919,0
920,0
921,0
922,1
923,0
924,1
925,1
926,1
927,1
928,0
929,0
930,1
931,1
932,0
933,1
934,0
935,0
936,0
937,0
938,1
939,0
940,1
941,1
942,1
943,0
944,0
945,0
946,0
947,0
948,1
949,0
950,1
951,1
952,0
953,1
954,0
955,0
956,0
957,0
958,1
959,0
960,1
961,0
962,1
963,0
964,1
965,1
966,1
967,0
968,1
969,0
970,0
971,1
972,1
973,1
974,0
975,0
976,1
977,1
978,1
979,1
980,0
981,1
982,0
983,1
984,1
985,0
986,1
987,1
988,1
989,0
990,1
991,1
992,1
993,0
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,0
1004,0
1005,0
1006,1
1007,0
1008,0
1009,1
1010,0
1011,1
1012,0
1013,0
1014,1
1015,1
1016,0
1017,0
1018,1
1019,0
1020,0
1021,1
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,1
1035,1
1036,1
1037,0
1038,0
1039,0
1040,1
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,0
1048,0
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,0
1062,0
1063,1
1064,0
1065,1
1066,1
1067,1
1068,0
1069,1
1070,1
1071,0
1072,0
1073,1
1074,1
1075,1
1076,0
1077,0
1078,1
1079,0
1080,1
1081,0
1082,1
1083,0
1084,0
1085,0
1086,1
1087,0
1088,1
1089,1
1090,1
1091,1
1092,1
1093,0
1094,0
1095,1
1096,0
1097,0
1098,1
1099,0
1100,0
1101,1
1102,1
1103,0
1104,1
1105,1
1106,0
1107,0
1108,0
1109,1
1110,0
1111,0
1112,1
1113,1
1114,1
1115,1
1116,1
1117,1
1118,0
1119,1
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,0
1127,1
1128,0
1129,1
1130,1
1131,0
1132,0
1133,1
1134,1
1135,0
1136,1
1137,1
1138,1
1139,1
1140,1
1141,1
1142,0
1143,0
1144,1
1145,1
1146,1
1147,0
1148,1
1149,0
1150,1
1151,1
1152,0
1153,1
1154,0
1155,0
1156,0
1157,0
1158,0
1159,1
1160,1
1161,1
1162,1
1163,1
1164,1
1165,0
1166,1
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,0
1174,1
1175,0
1176,0
1177,0
1178,1
1179,1
1180,1
1181,0
1182,0
1183,1
1184,0
1185,1
1186,0
1187,1
1188,1
1189,1
1190,0
1191,1
1192,1
1193,1
1194,0
1195,1
1196,1
1197,0
1198,0
1199,0
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,0
1210,0
1211,0
1212,0
1213,0
1214,0
1215,1
1216,1
1217,0
1218,1
1219,0
1220,1
1221,1
1222,1
1223,0
1224,1
1225,0
1226,0
1227,0
1228,0
1229,0
1230,1
1231,0
1232,1
1233,0
1234,1
1235,1
1236,1
1237,1
1238,0
1239,1
1240,0
1241,1
1242,1
1243,0
1244,0
1245,1
1246,1
1247,0
1248,0
1249,1
1250,0
1251,1
1252,0
1253,1
1254,0
1255,1
1256,1
1257,0
1258,1
1259,1
1260,0
1261,1
1262,0
1263,0
1264,1
1265,1
1266,1
1267,0
1268,0
1269,1
1270,0
1271,1
1272,1
1273,1
1274,0
1275,1
1276,1
1277,0
1278,1
1279,1
1280,1
1281,1
1282,0
1283,1
1284,0
1285,1
1286,0
1287,0
1288,1
1289,1
1290,1
1291,1
1292,1
1293,1
1294,0
1295,0
1296,0
1297,1
1298,1
1299,0
1300,0
1301,1
1302,1
1303,1
1304,0
1305,1
1306,1
1307,0
1308,1
1309,1
1310,0
1311,1
1312,1
1313,1
1314,1
1315,0
1316,0
1317,0
1318,1
1319,1
1320,0
1321,0
1322,1
1323,0
1324,0
1325,0
1326,1
1327,0
1328,0
1329,1
1330,1
1331,0
1332,0
1333,1
1334,0
1335,0
1336,1
1337,1
1338,0
1339,0
1340,1
1341,0
1342,0
1343,1
1344,1
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0
1352,0
1353,0
1354,0
1355,0
1356,0
1357,0
1358,0
1359,0
1360,0
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,1
1368,1
1369,1
1370,0
1371,1
1372,0
1373,0
1374,0
1375,0
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,0
1384,0
1385,1
1386,0
1387,0
1388,0
1389,1
1390,1
1391,1
1392,0
1393,1
1394,0
1395,1
1396,0
1397,0
1398,0
1399,0
1400,1
1401,1
1402,0
1403,0
1404,0
1405,1
1406,1
1407,1
1408,0
1409,0
1410,0
1411,0
1412,1
1413,1
1414,0
1415,1
1416,1
1417,1
1418,0
1419,0
1420,1
1421,0
1422,1
1423,0
1424,0
1425,1
1426,0
1427,0
1428,0
1429,0
1430,0
1431,1
1432,0
1433,0
1434,0
1435,1
1436,1
1437,0
1438,0
1439,0
1440,0
1441,0
1442,0
1443,1
1444,1
1445,0
1446,0
1447,0
1448,1
1449,1
1450,1
1451,1
1452,1
1453,0
1454,1
1455,1
1456,1
1457,0
1458,1
1459,0
1460,0
1461,1
1462,1
1463,0
1464,0
1465,1
1466,0
1467,1
1468,1
1469,1
1470,1
1471,0
1472,0
1473,1
1474,1
1475,1
1476,0
1477,0
1478,1
1479,1
1480,0
1481,0
1482,1
1483,1
1484,0
1485,1
1486,1
1487,1
1488,0
1489,0
1490,1
1491,1
1492,1
1493,1
1494,0
1495,0
1496,0
1497,0
1498,1
1499,1
1500,1
1501,0
1502,0
1503,0
1504,0
1505,1
1506,0
1507,0
1508,0
1509,1
1510,0
1511,1
1512,0
1513,1
1514,0
1515,1
1516,1
1517,0
1518,1
1519,1
1520,1
1521,0
1522,0
1523,0
1524,1
1525,0
1526,1
1527,0
1528,1
1529,0
1530,1
1531,0
1532,1
1533,0
1534,1
1535,0
1536,1
1537,0
1538,0
1539,0
1540,0
1541,0
1542,0
1543,0
1544,0
1545,0
1546,1
1547,1
1548,0
1549,0
1550,0
1551,0
1552,1
1553,1
1554,1
1555,1
1556,1
1557,0
1558,1
1559,0
1560,0
1561,0
1562,1
1563,1
1564,0
1565,1
1566,1
1567,1
1568,0
1569,0
1570,1
1571,0
1572,1
1573,0
1574,0
1575,1
1576,1
1577,0
1578,0
1579,1
1580,0
1581,0
1582,0
1583,1
1584,1
1585,0
1586,1
1587,1
1588,0
1589,0
1590,0
1591,1
1592,1
1593,0
1594,1
1595,1
1596,1
1597,0
1598,0
1599,1
1600,1
1601,0
1602,0
1603,1
1604,0
1605,0
1606,0
1607,1
1608,1
1609,1
1610,1
1611,0
1612,1
1613,1
1614,1
1615,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,0
1622,0
1623,0
1624,0
1625,1
1626,1
1627,0
1628,0
1629,0
1630,1
1631,1
1632,1
1633,0
1634,1
1635,0
1636,1
1637,0
1638,0
1639,1
1640,1
1641,0
1642,0
1643,0
1644,0
1645,1
1646,1
1647,1
1648,1
1649,0
1650,1
1651,1
1652,0
1653,0
1654,0
1655,0
1656,1
1657,0
1658,0
1659,1
1660,0
1661,1
1662,1
1663,1
1664,1
1665,1
1666,0
1667,1
1668,0
1669,1
1670,1
1671,0
1672,0
1673,1
1674,1
1675,1
1676,1
1677,0
1678,0
1679,1
1680,0
1681,0
1682,0
1683,0
1684,1
1685,1
1686,0
1687,1
1688,0
1689,0
1690,1
1691,0
1692,0
1693,0
1694,1
1695,1
1696,0
1697,0
1698,1
1699,1
1700,1
1701,1
1702,0
1703,0
1704,0
1705,0
1706,1
1707,1
1708,1
1709,1
1710,0
1711,1
1712,1
1713,1
1714,1
1715,1
1716,1
1717,1
1718,1
1719,0
1720,1
1721,0
1722,0
1723,0
1724,0
1725,0
1726,1
1727,1
1728,0
1729,1
1730,0
1731,1
1732,1
1733,1
1734,0
1735,1
1736,1
1737,0
1738,1
1739,1
1740,1
1741,1
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,1
1750,0
1751,1
1752,0
1753,0
1754,0
1755,0
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,1
1764,0
1765,0
1766,0
1767,0
1768,1
1769,0
1770,1
1771,1
1772,0
1773,1
1774,1
1775,1
1776,1
1777,1
1778,0
1779,1
1780,1
1781,1
1782,0
1783,1
1784,1
1785,0
1786,1
1787,0
1788,0
1789,0
1790,0
1791,0
1792,1
1793,0
1794,1
1795,0
1796,1
1797,1
1798,1
1799,1
1800,1
1801,1
1802,1
1803,0
1804,1
1805,0
1806,0
1807,0
1808,1
1809,1
1810,1
1811,0
1812,1
1813,0
1814,0
1815,0
1816,0
1817,1
1818,1
1819,0
1820,0
1821,1
1822,1
1823,1
1824,1
1825,1
1826,1
1827,0
1828,0
1829,0
1830,0
1831,0
1832,0
1833,1
1834,0
1835,1
1836,0
1837,1
1838,1
1839,0
1840,1
1841,0
1842,0
1843,1
1844,1
1845,0
1846,0
1847,1
1848,1
1849,0
1850,0
1851,0
1852,1
1853,1
1854,0
1855,0
1856,0
1857,1
1858,0
1859,0
1860,1
1861,1
1862,1
1863,1
1864,1
1865,1
1866,1
1867,0
1868,1
1869,1
1870,0
1871,1
1872,0
1873,0
1874,0
1875,0
1876,1
1877,0
1878,1
1879,1
1880,1
1881,0
1882,0
1883,0
1884,1
1885,1
1886,0
1887,1
1888,1
1889,1
1890,0
1891,0
1892,0
1893,0
1894,1
1895,1
1896,0
1897,1
1898,0
1899,1
1900,0
1901,1
1902,1
1903,0
1904,0
1905,0
1906,0
1907,1
1908,0
1909,0
1910,1
1911,0
1912,1
1913,0
1914,1
1915,1
1916,1
1917,1
1918,0
1919,1
1920,0
1921,0
1922,1
1923,0
1924,0
1925,0
1926,0
1927,1
1928,0
1929,1
1930,0
1931,1
1932,0
1933,1
1934,0
1935,1
1936,0
1937,1
1938,0
1939,0
1940,1
1941,0
1942,0
1943,1
1944,1
1945,0
1946,1
1947,1
1948,0
1949,1
1950,0
1951,1
1952,1
1953,1
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,1
1961,1
1962,0
1963,1
1964,0
1965,1
1966,0
1967,0
1968,1
1969,0
1970,0
1971,0
1972,0
1973,1
1974,0
1975,1
1976,1
1977,0
1978,0
1979,1
1980,0
1981,0
1982,0
1983,1
1984,1
1985,0
1986,1
1987,1
1988,0
1989,0
1990,0
1991,1
1992,0
1993,0
1994,1
1995,1
1996,1
1997,1
1998,0
1999,0
2000,1
2001,0
2002,1
2003,0
2004,1
2005,1
2006,0
2007,1
2008,0
2009,1
2010,0
2011,0
2012,0
2013,1
2014,1
2015,0
2016,0
2017,1
2018,0
2019,0
2020,0
2021,1
2022,0
2023,1
2024,0
2025,0
2026,0
2027,0
2028,0
2029,0
2030,0
2031,0
2032,0
2033,0
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,0
2041,1
2042,1
2043,1
2044,0
2045,1
2046,0
2047,1
2048,0
2049,1
2050,0
2051,1
2052,1
2053,1
2054,0
2055,1
2056,1
2057,0
2058,1
2059,1
2060,0
2061,1
2062,0
2063,0
2064,0
2065,0
2066,1
2067,1
2068,1
2069,1
2070,1
2071,0
2072,0
2073,0
2074,1
2075,1
2076,1
2077,1
2078,0
2079,1
2080,0
2081,0
2082,0
2083,1
2084,0
2085,1
2086,1
2087,1
2088,1
2089,1
2090,0
2091,1
2092,0
2093,0
2094,0
2095,1
2096,0
2097,0
2098,0
2099,1
2100,0
2101,0
2102,0
2103,0
2104,0
2105,0
2106,1
2107,0
2108,1
2109,1
2110,1
2111,1
2112,1
2113,1
2114,0
2115,0
2116,1
2117,0
2118,1
2119,0
2120,1
2121,0
2122,0
2123,0
2124,0
2125,0
2126,1
2127,0
2128,0
2129,1
2130,1
2131,1
2132,0
2133,0
2134,0
2135,1
2136,1
2137,0
2138,1
2139,0
2140,1
2141,1
2142,0
2143,1
2144,1
2145,0
2146,1
2147,0
2148,1
2149,1
2150,0
2151,0
2152,1
2153,1
2154,0
2155,0
2156,0
2157,1
2158,1
2159,1
2160,0
2161,1
2162,1
2163,0
2164,0
2165,0
2166,0
2167,1
2168,1
2169,1
2170,1
2171,0
2172,1
2173,1
2174,1
2175,0
2176,0
2177,0
2178,0
2179,1
2180,1
2181,1
2182,1
2183,1
2184,1
2185,0
2186,0
2187,0
2188,0
2189,1
2190,0
2191,1
2192,1
2193,0
2194,0
2195,0
2196,0
2197,1
2198,1
2199,1
2200,0
2201,0
2202,1
2203,1
2204,1
2205,1
2206,0
2207,1
2208,0
2209,0
2210,1
2211,1
2212,0
2213,0
2214,0
2215,1
2216,1
2217,0
2218,1
2219,0
2220,1
2221,0
2222,0
2223,1
2224,0
2225,0
2226,0
2227,0
2228,1
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,1
2236,0
2237,0
2238,0
2239,1
2240,0
2241,0
2242,0
2243,1
2244,0
2245,1
2246,0
2247,1
2248,1
2249,1
2250,1
2251,1
2252,0
2253,1
2254,0
2255,0
2256,0
2257,0
2258,0
2259,0
2260,0
2261,0
2262,0
2263,1
2264,0
2265,1
2266,0
2267,0
2268,0
2269,1
2270,1
2271,1
2272,0
2273,1
2274,0
2275,0
2276,0
2277,0
2278,0
2279,1
2280,1
2281,0
2282,0
2283,1
2284,0
2285,0
2286,1
2287,0
2288,0
2289,0
2290,1
2291,0
2292,0
2293,0
2294,0
2295,1
2296,0
2297,1
2298,1
2299,0
2300,0
2301,0
2302,0
2303,0
2304,0
2305,0
2306,0
2307,1
2308,1
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,1
2316,0
2317,0
2318,1
2319,0
2320,0
2321,1
2322,1
2323,1
2324,1
2325,1
2326,0
2327,1
2328,0
2329,1
2330,1
2331,1
2332,0
2333,0
2334,1
2335,1
2336,0
2337,0
2338,1
2339,1
2340,0
2341,1
2342,1
2343,0
2344,0
2345,0
2346,1
2347,1
2348,1
2349,0
2350,0
2351,1
2352,1
2353,1
2354,1
2355,1
2356,0
2357,1
2358,1
2359,0
2360,1
2361,0
2362,0
2363,0
2364,0
2365,1
2366,0
2367,0
2368,0
2369,0
2370,1
2371,1
2372,1
2373,0
2374,1
2375,1
2376,1
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,1
2384,1
2385,0
2386,0
2387,1
2388,1
2389,1
2390,1
2391,0
2392,1
2393,1
2394,0
2395,1
2396,1
2397,0
2398,1
2399,1
2400,0
2401,0
2402,1
2403,1
2404,1
2405,0
2406,1
2407,1
2408,1
2409,1
2410,1
2411,1
2412,0
2413,1
2414,0
2415,1
2416,0
2417,0
2418,0
2419,1
2420,0
2421,1
2422,1
2423,1
2424,1
2425,1
2426,0
2427,1
2428,0
2429,1
2430,0
2431,0
2432,0
2433,1
2434,0
2435,0
2436,0
2437,0
2438,1
2439,1
2440,1
2441,1
2442,0
2443,0
2444,1
2445,0
2446,1
2447,1
2448,0
2449,1
2450,0
2451,1
2452,1
2453,0
2454,0
2455,0
2456,0
2457,0
2458,1
2459,1
2460,1
2461,0
2462,1
2463,1
2464,1
2465,0
2466,0
2467,0
2468,1
2469,0
2470,1
2471,0
2472,0
2473,1
2474,1
2475,0
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,0
2483,1
2484,0
2485,1
2486,0
2487,1
2488,1
2489,0
2490,0
2491,1
2492,1
2493,0
2494,1
2495,1
2496,0
2497,0
2498,0
2499,0
2500,1
2501,1
2502,0
2503,1
2504,0
2505,1
2506,0
2507,1
2508,0
2509,0
2510,0
2511,0
2512,1
2513,1
2514,0
2515,0
2516,0
2517,0
2518,0
2519,0
2520,0
2521,1
2522,0
2523,1
2524,1
2525,1
2526,1
2527,1
2528,0
2529,0
2530,0
2531,0
2532,1
2533,0
2534,1
2535,0
2536,1
2537,1
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,1
2546,1
2547,0
2548,0
2549,0
2550,1
2551,0
2552,1
2553,0
2554,1
2555,1
2556,1
2557,1
2558,1
2559,0
2560,1
2561,1
2562,1
2563,0
2564,0
2565,0
2566,0
2567,1
2568,1
2569,1
2570,1
2571,0
2572,1
2573,0
2574,0
2575,1
2576,0
2577,1
2578,1
2579,1
2580,0
2581,1
2582,1
2583,0
2584,1
2585,1
2586,0
2587,0
2588,1
2589,1
2590,0
2591,0
2592,1
2593,1
2594,0
2595,0
2596,1
2597,1
2598,1
2599,0
2600,0
2601,1
2602,1
2603,0
2604,0
2605,1
2606,0
2607,0
2608,1
2609,1
2610,0
2611,1
2612,1
2613,1
2614,0
2615,1
2616,1
2617,1
2618,1
2619,0
2620,0
2621,0
2622,0
2623,1
2624,0
2625,0
2626,0
2627,1
2628,1
2629,0
2630,1
2631,0
2632,1
2633,0
2634,0
2635,0
2636,1
2637,1
2638,1
2639,1
2640,0
2641,1
2642,0
2643,0
2644,1
2645,1
2646,0
2647,1
2648,1
2649,0
2650,0
2651,1
2652,0
2653,1
2654,0
2655,1
2656,0
2657,0
2658,0
2659,0
2660,0
2661,1
2662,1
2663,0
2664,0
2665,1
2666,0
2667,1
2668,0
2669,0
2670,0
2671,0
2672,0
2673,1
2674,1
2675,1
2676,0
2677,0
2678,1
2679,0
2680,1
2681,0
2682,1
2683,0
2684,1
2685,1
2686,1
2687,0
2688,0
2689,1
2690,1
2691,0
2692,0
2693,0
2694,0
2695,1
2696,1
2697,1
2698,1
2699,0
2700,1
2701,1
2702,1
2703,1
2704,1
2705,1
2706,0
2707,1
2708,0
2709,0
2710,0
2711,1
2712,1
2713,0
2714,0
2715,1
2716,0
2717,0
2718,1
2719,0
2720,1
2721,1
2722,1
2723,1
2724,0
2725,1
2726,1
2727,1
2728,0
2729,1
2730,1
2731,1
2732,0
2733,0
2734,1
2735,0
2736,0
2737,1
2738,1
2739,1
2740,0
2741,0
2742,0
2743,1
2744,1
2745,1
2746,0
2747,1
2748,0
2749,0
2750,0
2751,1
2752,1
2753,0
2754,1
2755,0
2756,1
2757,0
2758,0
2759,1
2760,0
2761,1
2762,0
2763,1
2764,1
2765,0
2766,1
2767,0
2768,0
2769,0
2770,1
2771,0
2772,0
2773,1
2774,0
2775,0
2776,0
2777,0
2778,1
2779,0
2780,0
2781,0
2782,1
2783,0
2784,1
2785,0
2786,1
2787,0
2788,0
2789,0
2790,0
2791,0
2792,1
2793,1
2794,0
2795,1
2796,0
2797,1
2798,0
2799,0
2800,0
2801,1
2802,0
2803,1
2804,1
2805,1
2806,1
2807,0
2808,1
2809,0
2810,1
2811,1
2812,0
2813,1
2814,0
2815,0
2816,0
2817,1
2818,0
2819,0
2820,1
2821,1
2822,1
2823,1
2824,0
2825,1
2826,1
2827,0
2828,1
2829,0
2830,0
2831,0
2832,1
2833,1
2834,1
2835,0
2836,1
2837,1
2838,0
2839,1
2840,1
2841,1
2842,1
2843,1
2844,0
2845,1
2846,1
2847,1
2848,0
2849,1
2850,0
2851,1
2852,0
2853,1
2854,0
2855,1
2856,1
2857,1
2858,1
2859,0
2860,1
2861,1
2862,0
2863,0
2864,0
2865,0
2866,0
2867,0
2868,0
2869,0
2870,1
2871,0
2872,1
2873,1
2874,0
2875,0
2876,1
2877,1
2878,0
2879,0
2880,0
2881,0
2882,0
2883,1
2884,1
2885,0
2886,0
2887,1
2888,0
2889,1
2890,1
2891,1
2892,1
2893,1
2894,0
2895,1
2896,1
2897,0
2898,0
2899,1
2900,1
2901,1
2902,1
2903,0
2904,0
2905,1
2906,1
2907,1
2908,1
2909,1
2910,0
2911,0
2912,0
2913,0
2914,1
2915,1
2916,0
2917,0
2918,1
2919,0
2920,0
2921,1
2922,1
2923,0
2924,1
2925,0
2926,0
2927,0
2928,0
2929,1
2930,0
2931,1
2932,1
2933,0
2934,0
2935,1
2936,0
2937,1
2938,0
2939,0
2940,1
2941,1
2942,1
2943,0
2944,1
2945,1
2946,0
2947,0
2948,0
2949,0
2950,1
2951,1
2952,1
2953,0
2954,0
2955,1
2956,0
2957,0
2958,1
2959,0
2960,0
2961,1
2962,1
2963,0
2964,1
2965,0
2966,1
2967,0
2968,1
2969,0
2970,1
2971,0
2972,0
2973,0
2974,1
2975,1
2976,0
2977,1
2978,1
2979,0
2980,1
2981,1
2982,0
2983,0
2984,0
2985,1
2986,1
2987,0
2988,0
2989,0
2990,1
2991,0
2992,1
2993,1
2994,1
2995,0
2996,1
